post_id,registrationNumber,body,count_comments,count_likes
5c6fdc5eb361ed00019e666a,00024,bonjour tout le monde,4,32
5c701806b361ed00019e666e,00066,bonjour tout le monde,0,1
5c701806b361ed00019e666f,00066,bonjour tout le monde,0,1
5c701806b361ed00019e6670,00066,bonjour tout le monde,0,1
5c701806b361ed00019e6671,00066,bonjour tout le monde,0,1
5c701806b361ed00019e6672,00066,bonjour tout le monde,0,1
5c701806b361ed00019e6673,00066,bonjour tout le monde,1,2
5c701806b361ed00019e6674,00066,bonjour tout le monde,3,22
5c72f484b361ed00019e667a,00118,bonjour tout le monde,11,29
5c7402b4b361ed00019e6681,00071,bonjour tout le monde,1,22
5c754343df84440001c593ab,00118,bonjour tout le monde,5,29
5c755398df84440001c593af,00143,bonjour tout le monde,13,16
5c755f78df84440001c593b2,00095,bonjour tout le monde,4,23
5c7565d0df84440001c593b6,00132,bonjour tout le monde,4,28
5c76331cdf84440001c593bf,00064,bonjour tout le monde,0,0
5c76331cdf84440001c593c0,00064,bonjour tout le monde,13,14
5c7656dddf84440001c593c5,00141,bonjour tout le monde,14,23
5c766645df84440001c593cd,00002,bonjour tout le monde,8,21
5c76925ddf84440001c593dd,00051,bonjour tout le monde,3,34
5c769977df84440001c593e0,00118,bonjour tout le monde,0,23
5c76e13edf84440001c593ee,00039,bonjour tout le monde,1,22
5c77c3e7df84440001c593f6,00002,bonjour tout le monde,3,18
5c780808df84440001c593fd,00053,bonjour tout le monde,8,25
5c793109df84440001c59410,00093,bonjour tout le monde,1,10
5c79472fdf84440001c59412,00086,bonjour tout le monde,3,13
5c7cd841df84440001c59415,00118,bonjour tout le monde,1,20
5c7d0a6ddf84440001c59417,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c59418,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c59419,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c5941a,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c5941b,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c5941c,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c5941d,00086,bonjour tout le monde,0,0
5c7d0a6ddf84440001c5941e,00086,bonjour tout le monde,0,0
5c7d0ad9df84440001c59420,00086,bonjour tout le monde,0,2
5c7d0ad9df84440001c59421,00086,bonjour tout le monde,1,4
5c7d0ad9df84440001c59422,00086,bonjour tout le monde,0,2
5c7d0ad9df84440001c59423,00086,bonjour tout le monde,2,3
5c7d0ad9df84440001c59424,00086,bonjour tout le monde,0,3
5c7d0ad9df84440001c59425,00086,bonjour tout le monde,0,3
